,Unnamed: 0,Brand,OS,RAM,ROM,Prices,Display,Processor,Warranty,Rating
381,381,DELL,Windows 11,8,512,40990,15.6,AMD Ryzen 5 Quad Core ,1,3.8
382,382,Apple,Mac,16,1024,222990,14.2,Apple M1 Pro ,1,4.8
383,383,ASUS,Windows 11,8,512,45490,15.6,Intel Core i3 ,1,4.2
384,384,DELL,Windows 11,8,512,40990,15.6,AMD Ryzen 5 Quad Core ,1,3.8
385,385,ASUS,Windows 11,8,512,43679,15.6,Intel Core i5 ,1,4.3
386,386,ASUS,Windows 11,8,512,45490,15.6,Intel Core i3 ,1,4.2
387,387,Apple,Mac,16,1024,222990,14.2,Apple M1 Pro ,1,4.8
388,388,HP,Windows 11,8,512,59990,15.6,AMD Ryzen 5 Hexa Core ,1,4.3
389,389,Apple,Mac,8,256,125990,15.3,Apple M2 ,1,4.7
390,390,DELL,Windows 11,32,1024,389990,16,Intel Core i9 ,1,4.7
391,391,SAMSUNG,Windows 11,16,1024,140990,14,Intel Core i7 ,1,4.1
392,392,HP,Windows 11,8,512,55500,16.1,Intel Core i5 ,1,4.3
393,393,HP,Windows 10,16,512,81999,13.3,Intel Core i5 ,1,4.3
394,394,HP,Windows 11,8,512,59990,15.6,Intel Core i5 ,1,4.2
395,395,ASUS,Windows 11,16,512,93500,15.6,AMD Ryzen 7 Octa Core ,1,4.1
396,396,HP,Windows 11,16,512,66999,15.6,AMD Ryzen 7 Octa Core ,1,4.3
397,397,HP,Windows 11,16,512,62990,14,Intel Core i5 ,1,4.2
398,398,HP,Windows 11,16,512,83999,16.1,AMD Ryzen 7 Octa Core ,1,4.4
399,399,HP,Windows 11,16,512,66999,15.6,Intel Core i5 ,1,4.1
400,400,ASUS,Windows 11,16,1024,109900,15.6,Intel Core i9 ,1,4.3
401,401,DELL,Windows 11,8,256,41430,15.6,AMD Ryzen 5 Quad Core ,1,3.8
402,402,DELL,Windows 11,16,512,74000,14,Intel Core i5 ,1,3.8
403,403,ASUS,Windows 11,8,512,54719,15.6,AMD Ryzen 5 Hexa Core ,1,4.5
404,404,Apple,Mac,8,512,119900,13.6,Apple M2 ,1,4.7
405,405,HP,Windows 11,16,512,105800,16.1,AMD Ryzen 7 Octa Core ,1,3.7
406,406,Lenovo,Windows 10,8,256,43500,14,Intel Core i5 ,1,4.6
407,407,ASUS,Windows 11,16,512,60990,15.6,AMD Ryzen 5 Hexa Core ,1,4.3
408,408,DELL,Windows 11,8,512,51999,15.6,Intel Core i5 ,1,4.8
409,409,DELL,Windows 11,16,512,71990,15.6,Intel Core i7 ,1,4.8
410,410,ASUS,Windows 11,8,512,71990,17.3,Intel Core i5 ,1,4.8
411,411,Lenovo,Windows 11,8,1024,58900,15.6,AMD Ryzen 5 Hexa Core ,1,4.2
412,412,ASUS,Windows 11,8,512,50990,15.6,AMD Ryzen 5 Hexa Core ,1,4.4
413,413,HP,Windows 11,16,512,134990,16.1,Intel Core i7 ,1,4.4
414,414,HP,Windows 11,16,1024,89999,15.6,Intel Core i7 ,1,4.6
415,415,ASUS,Windows 11,8,1024,57590,15.6,Intel Core i5 ,1,3.8
416,416,ASUS,Windows 11,16,1024,119990,16,AMD Ryzen 9 Octa Core ,1,4.8
417,417,ASUS,Windows 11,32,2048,289990,16,Intel Core i9 ,1,4.8
418,418,Lenovo,Windows 11,16,512,58490,15.6,Intel Core i7 ,1,4.8
419,419,ASUS,Windows 11,16,512,86999,15.6,Intel Core i5 ,1,4.4
420,420,ASUS,Windows 11,16,1024,116000,17.3,Intel Core i7 ,1,4.3
421,421,ASUS,Windows 11,8,512,47990,15.6,Intel Core i5 ,1,3.8
422,422,HP,Windows 11,16,1024,199990,16,Intel Core i7 ,1,3.8
